Date,Adj Close,Year,,,Year,First Close,Last Close,Return for Year,Total Return 20 Years,Average Return 20 Years
8/29/1994,474.589996,1994,,,,,,,,
8/30/1994,476.070007,1994,,,,,,,,
8/31/1994,475.48999,1994,,,,,,,,
9/1/1994,473.170013,1994,,,,,,,,
9/2/1994,470.98999,1994,,,,,,,,
9/6/1994,471.859985,1994,,,,,,,,
9/7/1994,470.98999,1994,,,,,,,,
9/8/1994,473.140015,1994,,,,,,,,
9/9/1994,468.179993,1994,,,,,,,,
9/12/1994,466.209991,1994,,,,,,,,
9/13/1994,467.51001,1994,,,,,,,,
9/14/1994,468.799988,1994,,,,,,,,
9/15/1994,474.809998,1994,,,,,,,,
9/16/1994,471.190002,1994,,,,,,,,
9/19/1994,470.850006,1994,,,,,,,,
9/20/1994,463.359985,1994,,,,,,,,
9/21/1994,461.459991,1994,,,,,,,,
9/22/1994,461.269989,1994,,,,,,,,
9/23/1994,459.670013,1994,,,,,,,,
9/26/1994,460.820007,1994,,,,,,,,
9/27/1994,462.049988,1994,,,,,,,,
9/28/1994,464.839996,1994,,,,,,,,
9/29/1994,462.23999,1994,,,,,,,,
9/30/1994,462.709991,1994,,,,,,,,
10/3/1994,461.73999,1994,,,,,,,,
10/4/1994,454.589996,1994,,,,,,,,
10/5/1994,453.519989,1994,,,,,,,,
10/6/1994,452.359985,1994,,,,,,,,
10/7/1994,455.100006,1994,,,,,,,,
10/10/1994,459.040009,1994,,,,,,,,
10/11/1994,465.790009,1994,,,,,,,,
10/12/1994,465.470001,1994,,,,,,,,
10/13/1994,467.790009,1994,,,,,,,,
10/14/1994,469.100006,1994,,,,,,,,
10/17/1994,468.959991,1994,,,,,,,,
10/18/1994,467.660004,1994,,,,,,,,
10/19/1994,470.279999,1994,,,,,,,,
10/20/1994,466.850006,1994,,,,,,,,
10/21/1994,464.890015,1994,,,,,,,,
10/24/1994,460.829987,1994,,,,,,,,
10/25/1994,461.529999,1994,,,,,,,,
10/26/1994,462.619995,1994,,,,,,,,
10/27/1994,465.850006,1994,,,,,,,,
10/28/1994,473.769989,1994,,,,,,,,
10/31/1994,472.350006,1994,,,,,,,,
11/1/1994,468.420013,1994,,,,,,,,
11/2/1994,466.51001,1994,,,,,,,,
11/3/1994,467.910004,1994,,,,,,,,
11/4/1994,462.279999,1994,,,,,,,,
11/7/1994,463.070007,1994,,,,,,,,
11/8/1994,465.649994,1994,,,,,,,,
11/9/1994,465.399994,1994,,,,,,,,
11/10/1994,464.369995,1994,,,,,,,,
11/11/1994,462.350006,1994,,,,,,,,
11/14/1994,466.040009,1994,,,,,,,,
11/15/1994,465.029999,1994,,,,,,,,
11/16/1994,465.619995,1994,,,,,,,,
11/17/1994,463.570007,1994,,,,,,,,
11/18/1994,461.470001,1994,,,,,,,,
11/21/1994,458.299988,1994,,,,,,,,
11/22/1994,450.089996,1994,,,,,,,,
11/23/1994,449.929993,1994,,,,,,,,
11/25/1994,452.290009,1994,,,,,,,,
11/28/1994,454.160004,1994,,,,,,,,
11/29/1994,455.170013,1994,,,,,,,,
11/30/1994,453.690002,1994,,,,,,,,
12/1/1994,448.920013,1994,,,,,,,,
12/2/1994,453.299988,1994,,,,,,,,
12/5/1994,453.320007,1994,,,,,,,,
12/6/1994,453.109985,1994,,,,,,,,
12/7/1994,451.230011,1994,,,,,,,,
12/8/1994,445.450012,1994,,,,,,,,
12/9/1994,446.959991,1994,,,,,,,,
12/12/1994,449.470001,1994,,,,,,,,
